Modelo,Resample (ms),Seconds to predict (s),Forecast steps,Timesteps,Epochs,Units (min-max:step),Batchsize,Feito?
GRU,40,3,75,60,20,64-256:64,4096,
GRU,40,3,75,60,150,64-256:64,2048,
GRU,40,3,75,120,20,16-64:16,4096,
GRU,40,3,75,120,150,16-64:16,2048,
GRU,40,5,250,60,20,16-64:16,2048,
GRU,40,5,250,60,150,16-64:16,4096,
GRU,40,5,250,120,20,64-256:64,2048,
GRU,40,5,250,120,150,64-256:64,4096,
GRU,100,3,30,60,20,16-64:16,2048,
GRU,100,3,30,60,150,16-64:16,4096,
GRU,100,3,30,120,20,64-256:64,2048,
GRU,100,3,30,120,150,64-256:64,4096,
GRU,100,5,100,60,20,64-256:64,4096,
GRU,100,5,100,60,150,64-256:64,2048,
GRU,100,5,100,120,20,16-64:16,4096,
GRU,100,5,100,120,150,16-64:16,2048,
LSTM,40,3,75,60,20,16-64:16,2048,
LSTM,40,3,75,60,150,16-64:16,4096,
LSTM,40,3,75,120,20,64-256:64,2048,
LSTM,40,3,75,120,150,64-256:64,4096,
LSTM,40,5,250,60,20,64-256:64,4096,
LSTM,40,5,250,60,150,64-256:64,2048,
LSTM,40,5,250,120,20,16-64:16,4096,
LSTM,40,5,250,120,150,16-64:16,2048,
LSTM,100,3,30,60,20,64-256:64,4096,
LSTM,100,3,30,60,150,64-256:64,2048,
LSTM,100,3,30,120,20,16-64:16,4096,
LSTM,100,3,30,120,150,16-64:16,2048,
LSTM,100,5,100,60,20,16-64:16,2048,
LSTM,100,5,100,60,150,16-64:16,4096,
LSTM,100,5,100,120,20,64-256:64,2048,
LSTM,100,5,100,120,150,64-256:64,4096,
